311,290
308,291
305,293
305,293
305,293
306,291
306,291
306,290
307,290
308,290
309,290
309,289
309,290
307,290
307,290
306,290
306,289
306,289
306,290
306,290
306,289
305,289
306,289
307,290
307,289
307,290
306,291
307,289
307,290
315,288
330,285
339,283
340,281
340,281
340,280
337,280
334,280
333,280
334,281
334,280
324,285
320,286
312,287
308,287
307,287
308,287
308,287
309,286
312,284
311,285
311,284
311,284
312,284
313,285
312,287
311,287
310,287
307,290
304,288
304,288
297,288
431,296
432,294
433,294
433,293
432,292
432,291
432,291
432,291
428,288
412,286
391,284
385,283
358,282
330,284
313,286
309,286
310,286
316,284
325,283
328,284
338,283
348,282
355,283
356,285
356,285
353,283
351,284
349,284
350,283
351,284
352,285
352,286
352,286
351,286
349,287
348,287
347,288
347,288
348,287
347,287
346,288
345,287
344,286
344,285
344,286
345,288
345,288
343,288
343,288
344,288
344,289
345,289
347,288
347,288
350,289
352,288
355,287
355,288
353,289
349,290
350,290
351,289
355,288
357,288
358,288
358,288
354,288
352,289
351,289
350,290
350,290
351,290
351,290
351,289
351,289
350,290
351,292
351,291
353,291
354,292
353,291
353,292
352,292
351,292
352,291
350,292
338,296
319,304
309,308
304,310
304,310
313,307
330,301
336,300
359,296
378,294
386,293
377,294
357,296
338,300
327,301
326,302
329,301
332,301
337,303
341,302
339,297
334,290
329,287
324,287
322,287
322,288
327,287
332,287
338,288
341,287
341,287
339,287
336,287
335,287
335,287
338,288
339,287
339,287
339,287
340,287
339,287
337,288
336,288
337,288
337,287
337,287
337,287
337,288
336,288
339,288
343,287
344,286
346,290
349,290
348,287
307,303
319,297
275,186
